"id";"title";"stars";"conments_Num"
132;"Windows PowerShell Cookbook : The Complete Guide to Scripting Microsoft's Command Shell";"(评价人数不足)";"(11人评价)"
133;"UNIX和shell程序设计权威教程";"(评价人数不足)";"(233人评价)"
134;"Shell Scripting : Expert Recipes for Linux, Bash and more";"(评价人数不足)";"(136人评价)"
135;"学习bash : Learning the bash Shell, Second Edition";"7.6";"(130人评价)"
136;"Linux命令行与shell脚本编程大全 第3版";"9.1";"(122人评价)"
137;"Linux命令行与shell脚本编程大全";"8.4";"(251人评价)"
138;"Shell脚本学习指南";"7.3";"(443人评价)"
139;"Linux Shell脚本攻略";"8.1";"(338人评价)"
140;"Linux Shell脚本攻略（第2版）";"8.2";"(86人评价)"
141;"Learning the bash Shell : 3rd Edition";"7.9";"(96人评价)"
142;"Shell脚本专家指南";"7.9";"(41人评价)"
143;"Linux命令、编辑器与shell编程(第2版)";"8.8";"(32人评价)"
144;"Linux Command Line and Shell Scripting Bible : Command Line and Shell Scripting Bible";"7.7";"(23人评价)"
145;"A Practical Guide to Linux Commands, Editors, and Shell Programming : Practical Guide to Linux Commands, Editors, and Shell Programmin";"(评价人数不足)";"(173人评价)"
146;"Linux命令、编辑器与Shell编程";"8.1";"(111人评价)"
147;"LINUX与UNIX Shell编程指南";"7.9";"(80人评价)"
148;"On command : Writing a Unix-like shell for MS-DOS";"(目前无人评价)";"(11人评价)"
149;"On command : Writing a Unix-like shell for MS-DOS";"(目前无人评价)";"(11人评价)"
150;"My Beautiful Broken Shell : Beautiful Broken Shell";"(目前无人评价)";"(19人评价)"
151;"Shell Scripting Recipes : A Problem-Solution Approach";"(评价人数不足)";"(37人评价)"
152;"Theory and Analysis of Elastic Plates and Shells";"(目前无人评价)";"(32人评价)"
153;"A Weary Road : Shell Shock in the Canadian Expeditionary Force, 1914-1918";"(目前无人评价)";"(24人评价)"
154;"Where Vultures Feast : Shell, Human Rights, and Oil";"(目前无人评价)";"(15人评价)"
155;"A Weary Road : Shell Shock in the Canadian Expeditionary Force, 1914-1918";"(目前无人评价)";"(24人评价)"
156;"Where Vultures Feast : Shell, Human Rights, and Oil";"(目前无人评价)";"(15人评价)"
157;"说服力";"6.5";"(19人评价)"
158;"The Shell Collector : stories";"(评价人数不足)";"(16人评价)"
159;"愛上便宜貨：追求折扣的代價 : 追求折扣的代價";"(评价人数不足)";"(10人评价)"
160;"邮票上的贝壳";"(评价人数不足)";"(11人评价)"
161;"The Art of Ghost in the Shell";"8.7";"(12人评价)"
